  1.000E+00  1.832E+00  1.944E+04  1.061E+04
  2.500E+00  2.585E+00  6.349E+03  2.456E+03
  3.500E+00  1.951E+00  2.292E+03  1.175E+03
  5.000E+00  1.099E+00  9.852E+02  8.968E+02
  7.000E+00  5.391E-01  1.533E+02  2.844E+02
  9.000E+00  4.531E-01  4.724E+01  1.043E+02
  1.125E+01  4.469E-01  2.373E+01  5.311E+01
  1.375E+01  4.395E-01  1.072E+01  2.439E+01
  1.750E+01  5.107E-01  8.953E+00  1.753E+01
  2.250E+01  5.802E-01  3.208E+00  5.529E+00
  2.750E+01  6.394E-01  1.380E+00  2.158E+00
  3.500E+01  7.057E-01  9.817E-01  1.391E+00
  5.000E+01  7.564E-01  3.980E-01  5.261E-01
  8.000E+01  8.571E-01  8.482E-02  9.897E-02
  1.100E+02  8.619E-01  5.200E-03  6.033E-03
