  1.000E+00  4.069E-01  2.947E+04  7.244E+04
  2.500E+00  5.150E-01  8.607E+03  1.671E+04
  3.500E+00  4.980E-01  3.665E+03  7.360E+03
  5.000E+00  4.448E-01  2.392E+03  5.378E+03
  7.000E+00  4.551E-01  7.306E+02  1.605E+03
  9.000E+00  4.740E-01  2.836E+02  5.984E+02
  1.125E+01  5.037E-01  1.541E+02  3.060E+02
  1.375E+01  5.506E-01  7.105E+01  1.291E+02
  1.750E+01  5.927E-01  5.657E+01  9.544E+01
  2.250E+01  6.816E-01  2.010E+01  2.949E+01
  2.750E+01  7.317E-01  8.280E+00  1.132E+01
  3.500E+01  7.855E-01  5.855E+00  7.454E+00
  5.000E+01  8.425E-01  2.348E+00  2.787E+00
  8.000E+01  8.977E-01  4.768E-01  5.312E-01
  1.100E+02  9.313E-01  2.855E-02  3.065E-02
